data_ref;cod_prestador;nome_prestador;nome_municipio_principal_prestador;uf_prestador;macro_regional_prestador;micro_regional_prestador;nome_municipio_principal_benef;uf_beneficiario;macro_regional_benef;micro_regional_benef;tipo_consulta;qtde_consultas;valor_consultas
2024_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;GONCALVES;MG;SUL;ITAJUBA;URGENCIA;3;151,2
2024_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;TRES PONTAS;MG;SUL;TRES PONTAS;URGENCIA;1;50,4
2026_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CARMO DE MINAS;MG;SUL;TRES CORACOES;URGENCIA;2;176,0
2024_12;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SENADOR JOSE BENTO;MG;SUL;POUSO ALEGRE;URGENCIA;3;151,2
2025_10;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;HELIODORA;MG;SUL;POUSO ALEGRE;URGENCIA;1;88,0
2024_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMANDUCAIA;MG;SUL;EXTREMA;URGENCIA;1;50,4
2025_4;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;ITAJUBA;MG;SUL;ITAJUBA;URGENCIA;6;302,4
2025_6;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;JACUTINGA;MG;SUL;OURO FINO;URGENCIA;3;151,2
2024_12;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;PIRANGUINHO;MG;SUL;ITAJUBA;URGENCIA;1;50,4
2024_7;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SAO SEBASTIAO DA BELA VISTA;MG;SUL;POUSO ALEGRE;URGENCIA;10;504,0
2025_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SENADOR AMARAL;MG;SUL;POUSO ALEGRE;URGENCIA;2;100,8
2024_10;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SAO JOSE DO ALEGRE;MG;SUL;ITAJUBA;URGENCIA;3;151,2
2024_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;JACUTINGA;RS;FORAMG;FORAMG;URGENCIA;1;50,4
2025_9;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;EXTREMA;MG;SUL;EXTREMA;URGENCIA;2;176,0
2026_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMPO BELO;MG;OESTE;CAMPO BELO;URGENCIA;1;88,0
2024_12;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;BUENO BRANDAO;MG;SUL;OURO FINO;URGENCIA;10;504,0
2024_5;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CORREGO DO BOM JESUS;MG;SUL;POUSO ALEGRE;URGENCIA;7;352,8
2025_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMPOS GERAIS;MG;SUL;ALFENAS;URGENCIA;1;50,4
2025_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;;;;;URGENCIA;10;504,0
2024_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;GONCALVES;MG;SUL;ITAJUBA;URGENCIA;2;100,8
2024_8;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CORDISLANDIA;MG;SUL;VARGINHA;URGENCIA;1;50,4
2025_12;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;PIRANGUCU;MG;SUL;ITAJUBA;URGENCIA;1;88,0
2025_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CALDAS;MG;SUL;POCOS DE CALDAS;URGENCIA;3;151,2
2024_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CARVALHOPOLIS;MG;SUL;ALFENAS;URGENCIA;1;50,4
2025_6;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;GONCALVES;MG;SUL;ITAJUBA;URGENCIA;2;100,8
2026_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;ESPIRITO SANTO DO DOURADO;MG;SUL;POUSO ALEGRE;URGENCIA;4;352,0
2025_8;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CARMO DA CACHOEIRA;MG;SUL;VARGINHA;URGENCIA;1;50,4
2024_6;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SANTA RITA DO SAPUCAI;MG;SUL;POUSO ALEGRE;URGENCIA;19;957,6
2024_10;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;JACUTINGA;MG;SUL;OURO FINO;URGENCIA;4;201,6
2025_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;AREADO;MG;SUL;ALFENAS;URGENCIA;1;50,4
2025_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SANTO ANTONIO DO AMPARO;MG;OESTE;OLIVEIRA;URGENCIA;3;151,2
2026_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SANTA RITA DO SAPUCAI;MG;SUL;POUSO ALEGRE;URGENCIA;14;1232,0
2025_11;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SAO PAULO;SP;FORAMG;FORAMG;URGENCIA;1;88,0
2025_11;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMPO DO MEIO;MG;SUL;ALFENAS;URGENCIA;1;88,0
2024_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMBUI;MG;SUL;POUSO ALEGRE;URGENCIA;16;806,4
2025_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMBUI;MG;SUL;POUSO ALEGRE;URGENCIA;22;1108,8
2025_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;PASSA QUATRO;MG;SUL;SAO LOURENCO;URGENCIA;2;100,8
2024_2;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAREACU;MG;SUL;POUSO ALEGRE;URGENCIA;8;403,2
2024_10;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CAMPANHA;MG;SUL;VARGINHA;URGENCIA;2;100,8
2024_6;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;CARMO DE MINAS;MG;SUL;TRES CORACOES;URGENCIA;1;50,4
2026_1;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;JACUI;MG;SUL;SAO SEBASTIAO DO PARAISO;URGENCIA;1;88,0
2024_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SAO JOSE DO ALEGRE;MG;SUL;ITAJUBA;URGENCIA;1;50,4
2024_10;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;SAO SEBASTIAO DA BELA VISTA;MG;SUL;POUSO ALEGRE;URGENCIA;15;756,0
2025_5;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;BOM REPOUSO;MG;SUL;POUSO ALEGRE;URGENCIA;8;403,2
2025_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;ESPIRITO SANTO DO DOURADO;MG;SUL;POUSO ALEGRE;URGENCIA;5;252,0
2025_3;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;POUSO ALEGRE;MG;SUL;POUSO ALEGRE;BARBACENA;MG;CENTRO SUL;BARBACENA;URGENCIA;1;50,4
